Rank,Username,Categories,Suscribers,Country,Visits,Likes,Comments,Links
1,tseries,M??sica y baile,249500000,India,86200,2700,78,http://youtube.com/channel/UCq-Fj5jknLsUf-MWSy4_brA
2,MrBeast,"Videojuegos, Humor",183500000,Estados Unidos,117400000,5300000,18500,http://youtube.com/channel/UCX6OQ3DkcsbYNE6H8uQQuVA
6,PewDiePie,"Pel?­culas, Videojuegos",111500000,Estados Unidos,2400000,197300,4900,http://youtube.com/channel/UC-lHJZR3Gqxm24_Vd_AJ5Yw
9,zeemusiccompany,M??sica y baile,99700000,India,74300,2600,32,http://youtube.com/channel/UCFFbwnve3yF62-tVXkTyHqg
10,WWE,Videojuegos,97200000,Estados Unidos,184500,6300,214,http://youtube.com/channel/UCJ5v_MCY6GNUBTO8-D3XoAg
11,BLACKPINK,M??sica y baile,91300000,Estados Unidos,863200,146900,3400,http://youtube.com/channel/UCOmHUn--16B90oW2L6FRR3A
13,SonySAB,"Pel?­culas, Animaci?³n",85400000,India,35500,615,21,http://youtube.com/channel/UC6-F5tO8uklgE9Zy8IvbdFw
14,5MinuteCraftsYouTube,Pel?­culas,80300000,India,164600,703,35,http://youtube.com/channel/UC295-Dw_tDNtZXFeAPAW6Aw
15,BTS,M??sica y baile,76500000,India,969700,180300,7400,http://youtube.com/channel/UCLkAepWjdylmXSltofFvsYQ
16,HYBELABELS,M??sica y baile,72700000,Estados Unidos,440700,23900,932,http://youtube.com/channel/UC3IZKseVpdzPSBaWxBxundA
20,KondZilla,M??sica y baile,66600000,Brasil,30400,1100,4,http://youtube.com/channel/UCffDXn7ycAzwL2LDlbyWOTw
22,filmigaane,M??sica y baile,66400000,India,33000,392,18,http://youtube.com/channel/UCP6uH_XlsxrXwZQ4DlqbqPg
23,TSeriesBhaktiSagar,M??sica y baile,62600000,India,24900,983,35,http://youtube.com/channel/UCaayLD9i5x4MmIoVZxXSv_g
24,tipsofficial,M??sica y baile,60900000,India,80200,935,22,http://youtube.com/channel/UCJrDMFOdv1I2k8n9oK_V21w
25,MOVIECLIPS,"Pel?­culas, Animaci?³n",59900000,Estados Unidos,16600,231,9,http://youtube.com/channel/UC3gNmTGu-TTbFPpfSs5kNkg
27,dudeperfect,Videojuegos,59700000,Estados Unidos,5300000,156500,4200,http://youtube.com/channel/UCRijo3ddMTht_IHyNSNXpNQ
28,aajtak,Noticias y Pol?­tica,58900000,India,7600,229,4,http://youtube.com/channel/UCt4t-jeY85JegMlZ-E5UWtA
30,SonyMusicIndia,M??sica y baile,57900000,India,26300,964,21,http://youtube.com/channel/UC56gTxNs4f9xZ7Pa2i5xNzg
31,marshmello,M??sica y baile,56700000,Estados Unidos,145900,8900,167,http://youtube.com/channel/UCEdvpU2pFRCVqU6yIPyTpMQ
32,yrf,M??sica y baile,55700000,India,60300,2100,33,http://youtube.com/channel/UCbTLwN10NoCU4WDzLf1JMOA
34,LooLooKids,M??sica y baile,54800000,Estados Unidos,595600,2700,0,http://youtube.com/channel/UC4NALVCmcmL5ntpV0thoH6w
35,TaylorSwift,M??sica y baile,54100000,Estados Unidos,4300000,300400,15000,http://youtube.com/channel/UCqECaJ8Gagnn7YCbPEzWH6g
36,EdSheeran,M??sica y baile,53700000,Estados Unidos,144200,10200,345,http://youtube.com/channel/UC0C-w0YjGpqDXGB8IHb662A
38,ArianaGrande,M??sica y baile,52900000,Estados Unidos,1100000,85800,3800,http://youtube.com/channel/UC9CoOnJkIBMdeijd9qYoT_g
40,JuegaGerman,"Pel?­culas, Animaci?³n",48600000,M?©xico,2000000,117100,3000,http://youtube.com/channel/UCYiGq8XF7YQD00x7wAd62Zg
41,BillieEilish,M??sica y baile,48600000,Estados Unidos,208100,27200,476,http://youtube.com/channel/UCiGm_E4ZwYSHV3bcW1pnSeQ
43,sonymusicindiaVEVO,M??sica y baile,47500000,India,36600,664,28,http://youtube.com/channel/UC3MLnJtqc_phABBriLRhtgQ
44,A4a4a4a4,"Animaci?³n, Humor",47300000,Rusia,9700000,330400,22000,http://youtube.com/channel/UC2tsySbe9TNrI-xh2lximHA
